RUN,TP,CODE,DYNAMIC PRESSURE,TEMP TS,BALANCE TEMP,PRESS TS,N1,N2,S1,S2,A1,R1,Lift (lbf),Drag (lbf),Pitch (in-lbf),Yaw (in-lbf),Side (lbf),Roll (in-lbf),Length,Flap Angle,FCY/N,DC/SC
1,1,1,0.0,0.0,0.0,0.0,0.127773,0.157383,-0.075672,0.116823,7.139243,0.007121,-47.71373,173.486777,7.762406,40.919928,-5.849658,0,4.0,0,N,DC
1,2,0,40.079082,76.444905,4181.148919,14.53489,-0.000471,0.000344,-0.000308,0.000415,0.007054,-5.3e-05,0.018784,0.171332,0.194964,0.146063,-0.021708,0,4.0,0,N,DC
1,3,0,45.182238,78.947605,4181.092286,14.496379,-0.000634,0.000376,-0.000333,0.000405,0.006765,-8e-05,0.040364,0.164372,0.240566,0.147774,-0.016864,0,4.0,0,N,DC
1,4,0,50.214109,79.597221,4181.091224,14.480924,-0.000739,0.000463,-0.000315,0.000407,0.007242,-0.000108,0.043342,0.175911,0.285306,0.142803,-0.020238,0,4.0,0,N,DC
1,1,1,0.0,0.0,0.0,0.0,0.126618,0.158059,-0.074298,0.115767,7.136577,0.006611,-47.62936,173.421652,8.171427,40.393237,-5.893825,0,4.0,0,N,SC
1,2,0,40.043581,74.230667,4175.283476,14.550868,-0.000371,9.1e-05,-6.3e-05,0.00051,0.016499,-1.1e-05,0.04322,0.401511,0.1063,0.118922,-0.079033,0,4.0,0,N,SC
1,3,0,45.579962,74.86936,4175.205572,14.509389,-0.000654,7.2e-05,-0.000152,0.000512,0.016775,-4.9e-05,0.092872,0.408523,0.167592,0.135939,-0.06703,0,4.0,0,N,SC
1,4,0,50.249589,75.799054,4175.10589,14.472537,-0.000762,-3e-06,-0.000122,0.00047,0.016613,-6.2e-05,0.123205,0.40481,0.174044,0.12087,-0.065824,0,4.0,0,N,SC
1,1,1,0.0,0.0,0.0,0.0,0.12771,0.157469,-0.075523,0.116806,7.137184,0.006873,-47.717542,173.436402,7.796599,40.88347,-5.870561,0,4.0,0,Y,DC
1,2,0,39.904538,77.940597,4180.016154,14.535294,-0.000626,0.000128,-0.000158,0.000278,0.0149,0.001216,0.080204,0.362994,0.173758,0.08766,-0.025366,0,4.0,0,Y,DC
1,3,0,44.956146,78.560862,4180.023231,14.498903,-0.000813,0.000182,-9.2e-05,0.00034,0.016316,0.001342,0.101821,0.397421,0.228997,0.085132,-0.047384,0,4.0,0,Y,DC
1,4,0,50.153954,79.684294,4180.032117,14.457702,-0.00097,0.000165,-0.000292,0.000384,0.017724,0.001542,0.13023,0.431951,0.262987,0.135559,-0.023513,0,4.0,0,Y,DC
1,1,1,0.0,0.0,0.0,0.0,0.127368,0.158666,-0.074024,0.115812,7.139614,0.005678,-47.853004,173.493821,8.141667,40.345315,-5.93668,0,4.0,0,Y,SC
1,2,0,39.755071,70.690066,4174.945897,14.648494,-0.000434,-0.000381,-0.000364,0.00036,0.022794,0.001476,0.131838,0.556102,0.007095,0.155538,-0.008477,0,4.0,0,Y,SC
1,3,0,45.159995,72.604505,4174.901605,14.608384,-0.000572,-0.000493,-0.000156,0.000341,0.023997,0.001642,0.173039,0.585565,0.009304,0.108101,-0.0406,0,4.0,0,Y,SC
1,4,0,50.434532,74.028583,4174.842487,14.566621,-0.00075,-0.00059,-0.000416,0.000482,0.024983,0.001921,0.217516,0.609917,0.030066,0.192013,-0.024533,0,4.0,0,Y,SC
1,1,1,0.0,0.0,0.0,0.0,0.127569,0.157227,-0.075593,0.116796,7.13715,0.007218,-47.654438,173.436155,7.771458,40.897307,-5.860173,0,4.0,5,N,DC
1,2,0,40.195083,76.101521,4180.409345,14.538115,-0.000268,0.000315,-0.000202,0.000268,0.008342,-0.000118,-0.009354,0.202715,0.13877,0.094799,-0.012648,0,4.0,5,N,DC
1,3,0,45.143509,78.482882,4180.464633,14.496379,-0.000263,0.000287,-0.000262,0.000363,0.009016,-9.4e-05,-0.00589,0.219118,0.131819,0.127762,-0.019456,0,4.0,5,N,DC
1,4,0,50.262418,80.33178,4180.498479,14.459156,-0.000436,0.000304,-0.000371,0.000462,0.009234,-8.1e-05,0.019255,0.224465,0.177503,0.170272,-0.019707,0,4.0,5,N,DC
1,1,1,0.0,0.0,0.0,0.0,0.126488,0.157553,-0.074228,0.116031,7.14458,0.006433,-47.526102,173.617221,8.078176,40.438646,-5.955074,0,4.0,5,N,DC
1,2,0,40.094651,75.585333,4174.768551,14.554269,-0.000301,0.000193,-0.000423,0.000434,0.006612,-5.8e-05,0.015458,0.160757,0.120737,0.176909,-0.006494,0,4.0,5,N,DC
1,3,0,45.238974,76.324387,4174.739711,14.516018,-0.000437,0.000262,-0.000386,0.000461,0.006979,-7.8e-05,0.026375,0.169638,0.168349,0.173233,-0.017365,0,4.0,5,N,DC
1,4,0,50.285602,76.639361,4174.680402,14.473405,-0.000517,0.000262,-0.00044,0.000528,0.007455,-0.000129,0.039058,0.181244,0.18773,0.198005,-0.020678,0,4.0,5,N,DC
1,1,1,0.0,0.0,0.0,0.0,0.127733,0.157384,-0.075495,0.116809,7.136627,0.006987,-47.707284,173.42294,7.770678,40.878981,-5.875997,0,4.0,5,Y,DC
1,2,0,39.986687,77.033974,4179.528358,14.542703,-0.000624,8.6e-05,4.8e-05,9.7e-05,0.015541,0.001254,0.087698,0.378726,0.159707,0.006768,-0.02789,0,4.0,5,Y,DC
1,3,0,45.126468,77.788514,4179.584755,14.49965,-0.000637,0.000112,3.1e-05,0.000162,0.017359,0.001428,0.085182,0.422931,0.16906,0.02407,-0.036259,0,4.0,5,Y,DC
1,4,0,49.947893,79.151526,4179.621699,14.458226,-0.000724,4e-05,0.000148,0.000129,0.018748,0.001583,0.111419,0.456909,0.16995,-0.00747,-0.05078,0,4.0,5,Y,DC
1,1,1,0.0,0.0,0.0,0.0,0.127591,0.158207,-0.074248,0.116029,7.147286,0.006012,-47.815403,173.681275,7.981113,40.445265,-5.939665,0,4.0,5,Y,SC
1,2,0,40.811825,72.698939,4174.475743,14.639145,-0.000398,-7.4e-05,-0.000302,0.000343,0.013945,0.001383,0.075572,0.339941,0.074893,0.135265,-0.013093,0,4.0,5,Y,SC
1,3,0,45.250808,76.209207,4174.185958,14.605679,-0.000773,-0.000144,-0.000184,0.000385,0.01306,0.001521,0.148739,0.318632,0.143826,0.116728,-0.042169,0,4.0,5,Y,SC
1,4,0,50.126567,76.653944,4174.12637,14.568634,-0.000945,-0.000173,-0.000378,0.000464,0.014298,0.001649,0.181256,0.349008,0.178373,0.173367,-0.025587,0,4.0,5,Y,SC
1,1,1,0.0,0.0,0.0,0.0,0.127725,0.157076,-0.075579,0.116795,7.136727,0.007995,-47.655099,173.425997,7.699066,40.896455,-5.862418,0,4.0,10,N,DC
1,2,0,40.21237,77.506812,4180.054073,14.534196,-0.000263,0.000359,-1.1e-05,5.8e-05,0.01068,-9.9e-05,-0.016299,0.25968,0.144397,0.010556,-0.00723,0,4.0,10,N,DC
1,3,0,44.805534,78.451337,4180.09187,14.495602,-0.000408,0.000392,-5.4e-05,9.4e-05,0.011544,-0.000139,0.00194,0.280769,0.185982,0.025893,-0.007395,0,4.0,10,N,DC
1,4,0,50.213507,80.104439,4180.128501,14.457608,-0.000538,0.00045,-9e-06,8.3e-05,0.012288,-0.000178,0.013927,0.298865,0.229096,0.012648,-0.012973,0,4.0,10,N,DC
1,1,1,0.0,0.0,0.0,0.0,0.126852,0.157363,-0.074379,0.11621,7.143039,0.006913,-47.555745,173.579664,7.951747,40.512334,-5.960228,0,4.0,10,N,DC
1,2,0,40.158995,74.887654,4174.574221,14.548968,-0.000312,0.000359,-0.000475,0.000501,0.0099,-0.000121,-0.010481,0.240564,0.163207,0.200781,-0.008476,0,4.0,10,N,DC
1,3,0,44.906054,77.397007,4174.542193,14.510646,-0.000361,0.000261,-0.000469,0.000476,0.009627,-0.000194,0.013896,0.23414,0.150783,0.194867,-0.006013,0,4.0,10,N,DC
1,4,0,50.100442,78.044294,4174.511234,14.484272,-0.000517,0.000359,-0.000574,0.000634,0.010284,-0.000189,0.022536,0.249973,0.212067,0.248169,-0.016407,0,4.0,10,N,DC
1,1,1,0.0,0.0,0.0,0.0,0.127938,0.157181,-0.075533,0.116786,7.136004,0.006855,-47.707522,173.40803,7.674937,40.885393,-5.866143,0,4.0,10,Y,DC
1,2,0,40.130995,76.948061,4179.184618,14.533384,-0.000553,0.000257,-0.000111,0.000231,0.017885,0.001189,0.047121,0.435459,0.186261,0.067501,-0.023466,0,4.0,10,Y,DC
1,3,0,45.101742,78.522108,4179.255736,14.494346,-0.000756,0.000283,-3.2e-05,0.000144,0.019778,0.001399,0.076626,0.481703,0.23736,0.031166,-0.022523,0,4.0,10,Y,DC
1,4,0,50.116546,79.532955,4179.278249,14.465205,-0.000861,0.000276,4.8e-05,0.000129,0.021525,0.001535,0.095231,0.524324,0.258532,0.01059,-0.033649,0,4.0,10,Y,DC
1,1,1,0.0,0.0,0.0,0.0,0.127817,0.15795,-0.074357,0.116154,7.144537,0.005859,-47.810935,173.614537,7.869652,40.498141,-5.94367,0,4.0,10,Y,SC
1,2,0,40.106365,72.219594,4174.144162,14.646922,-0.000115,-9.1e-05,-0.000581,0.000694,0.016689,0.00133,0.029856,0.406451,0.009575,0.270348,-0.026257,0,4.0,10,Y,SC
1,3,0,45.048489,73.850179,4174.114951,14.609568,-0.000287,-0.000119,-0.000685,0.000711,0.018162,0.001644,0.062829,0.442538,0.043251,0.294818,-0.01373,0,4.0,10,Y,SC
1,4,0,50.002214,77.260519,4173.976208,14.570135,-0.000619,-0.000158,-0.000712,0.000704,0.017835,0.001777,0.123872,0.434906,0.110559,0.296894,-0.010374,0,4.0,10,Y,SC
1,1,1,0.0,0.0,0.0,0.0,0.127831,0.156964,-0.075552,0.11675,7.137154,0.008145,-47.653984,173.436558,7.646825,40.883401,-5.859282,0,4.0,15,N,DC
1,2,0,40.076121,75.308677,4179.66211,14.543781,-0.000687,0.00082,-0.000256,0.000321,0.014031,-0.000196,-0.023811,0.340699,0.356089,0.110219,-0.01199,0,4.0,15,N,DC
1,3,0,44.762555,77.895567,4179.728423,14.492035,-0.00069,0.000698,-0.00028,0.000354,0.015544,-0.000215,-0.003443,0.377759,0.327249,0.123616,-0.014689,0,4.0,15,N,DC
1,4,0,50.039126,80.75509,4179.775493,14.455522,-0.000919,0.000755,-0.000299,0.000377,0.016,-0.000293,0.02473,0.388898,0.394119,0.130233,-0.016768,0,4.0,15,N,DC
1,1,1,0.0,0.0,0.0,0.0,0.127354,0.157269,-0.074569,0.116394,7.142109,0.006103,-47.623872,173.556753,7.816931,40.595582,-5.958359,0,4.0,15,N,DC
1,2,0,40.480432,75.854305,4174.626637,14.546346,-0.000127,1e-06,-0.000371,0.000322,0.013281,-3.4e-05,0.018722,0.323539,0.031252,0.146605,0.004164,0,4.0,15,N,DC
1,3,0,45.015755,76.881142,4174.618965,14.519837,-0.000286,5.6e-05,-0.000541,0.000505,0.014032,-2.2e-05,0.034936,0.34176,0.08372,0.219153,-0.000284,0,4.0,15,N,DC
1,4,0,50.151708,77.873666,4174.593361,14.473506,-0.000291,6.8e-05,-0.000561,0.000541,0.015303,-4.2e-05,0.03356,0.372671,0.087883,0.230951,-0.003278,0,4.0,15,N,DC
1,1,1,0.0,0.0,0.0,0.0,0.128081,0.157083,-0.075428,0.116751,7.13614,0.006925,-47.714662,173.41139,7.617257,40.857882,-5.876951,0,4.0,15,Y,DC
1,2,0,39.980408,79.28786,4178.702144,14.533709,-0.000762,0.000298,-0.000188,0.000191,0.020245,0.001081,0.074829,0.493134,0.24416,0.073893,-0.005317,0,4.0,15,Y,DC
1,3,0,45.078376,80.264773,4178.749247,14.497126,-0.000897,0.000277,-0.000112,0.000134,0.021993,0.001066,0.100975,0.535859,0.268456,0.045431,-0.008849,0,4.0,15,Y,DC
1,4,0,50.202487,80.975435,4178.774178,14.45714,-0.000834,0.000265,6.2e-05,5.9e-05,0.024196,0.001227,0.092863,0.589453,0.24819,-0.006282,-0.023733,0,4.0,15,Y,DC
1,1,1,0.0,0.0,0.0,0.0,0.128114,0.157765,-0.07447,0.116278,7.143496,0.00577,-47.83006,173.589222,7.758935,40.551785,-5.945955,0,4.0,15,Y,SC
1,2,0,39.968123,72.648385,4174.178415,14.64774,2.4e-05,-0.000119,-0.000599,0.000657,0.019736,0.001259,0.011854,0.480688,-0.030173,0.267939,-0.016431,0,4.0,15,Y,SC
1,3,0,45.168515,74.461303,4174.189535,14.610135,-0.00018,-0.000159,-0.00091,0.000809,0.021559,0.001506,0.05105,0.525357,0.010895,0.364542,0.006223,0,4.0,15,Y,SC
1,4,0,49.889632,78.654871,4173.9692,14.570946,-0.000505,-0.000358,-0.000975,0.000886,0.020185,0.001572,0.136974,0.492416,0.039187,0.393622,0.000125,0,4.0,15,Y,SC
1,1,1,0.0,0.0,0.0,0.0,0.128116,0.156775,-0.075536,0.11675,7.13776,0.008111,-47.669858,173.451439,7.535552,40.883938,-5.861331,0,4.0,20,N,DC
1,2,0,39.916077,76.670398,4179.358057,14.537439,-0.000445,0.00055,-0.000177,0.000184,0.018527,-0.000387,-0.018494,0.450634,0.232151,0.069977,-0.001902,0,4.0,20,N,DC
1,3,0,45.030885,80.038237,4179.450947,14.504081,-0.000638,0.000573,-0.000135,0.000197,0.019487,-0.0005,0.009191,0.474047,0.281469,0.062145,-0.012097,0,4.0,20,N,DC
1,4,0,49.786926,80.418099,4179.45642,14.462394,-0.000781,0.000583,-0.000161,0.00021,0.021254,-0.000567,0.031131,0.51718,0.316568,0.069621,-0.010897,0,4.0,20,N,DC
1,1,1,0.0,0.0,0.0,0.0,0.12772,0.157117,-0.074656,0.116475,7.141465,0.006651,-47.659598,173.541038,7.697511,40.635193,-5.956965,0,4.0,20,N,DC
1,2,0,40.224744,74.617515,4174.729903,14.550528,-0.000284,0.000377,-0.000551,0.000546,0.018175,-0.000466,-0.018551,0.442093,0.159638,0.227461,-0.003499,0,4.0,20,N,DC
1,3,0,44.992007,76.436854,4174.751071,14.512863,-0.000352,0.000335,-0.000653,0.000573,0.019673,-0.000567,-0.000538,0.478744,0.165829,0.25473,0.007623,0,4.0,20,N,DC
1,4,0,50.095243,78.526156,4174.725077,14.477874,-0.000586,0.00035,-0.000839,0.00074,0.020359,-0.00062,0.034538,0.495553,0.226186,0.327081,0.007702,0,4.0,20,N,DC
1,1,1,0.0,0.0,0.0,0.0,0.128223,0.156998,-0.075436,0.116784,7.136592,0.00668,-47.724282,173.422404,7.564284,40.868723,-5.881025,0,4.0,20,Y,DC
1,2,0,40.082183,77.1988,4178.164323,14.535509,-0.000633,0.000224,-0.000228,0.000209,0.024473,0.000963,0.065663,0.59617,0.195772,0.088197,-0.001528,0,4.0,20,Y,DC
1,3,0,45.074279,77.718179,4178.219237,14.496174,-0.000731,0.000245,-0.000193,0.000191,0.027395,0.001115,0.078448,0.667397,0.22195,0.076656,-0.004514,0,4.0,20,Y,DC
1,4,0,49.907643,81.213362,4178.302612,14.457898,-0.000868,0.000245,-0.000171,0.000207,0.028777,0.001239,0.100838,0.701115,0.253031,0.074654,-0.01181,0,4.0,20,Y,DC
1,1,1,0.0,0.0,0.0,0.0,0.12911,0.157661,-0.074686,0.116492,7.146103,0.006026,-47.978162,173.652133,7.507367,40.651215,-5.942157,0,4.0,20,Y,SC
1,2,0,39.985571,72.115012,4174.735709,14.649402,-0.000319,-0.000153,-0.000258,0.000279,0.022628,0.001058,0.075695,0.551608,0.03398,0.115142,-0.009362,0,4.0,20,Y,SC
1,3,0,45.024483,77.37339,4174.509083,14.609838,-0.00102,-0.000272,-0.00038,0.000225,0.021962,0.001181,0.210953,0.536226,0.167656,0.125261,0.014289,0,4.0,20,Y,SC
1,4,0,49.891403,78.285706,4174.447122,14.572792,-0.000999,-0.000372,-0.000429,0.000317,0.023876,0.001351,0.223454,0.582929,0.139457,0.156049,0.005796,0,4.0,20,Y,SC
1,1,1,0.0,0.0,0.0,0.0,0.128104,0.156651,-0.075577,0.116788,7.136917,0.007076,-47.647565,173.431105,7.509439,40.901666,-5.862069,0,4.0,25,N,DC
1,2,0,39.936418,74.325435,4178.9337,14.540443,-0.000226,0.000359,-0.000212,0.000235,0.022627,-0.000333,-0.023701,0.550653,0.135185,0.091831,-0.004925,0,4.0,25,N,DC
1,3,0,45.046993,76.370254,4178.974875,14.49791,-1.1e-05,0.000153,-0.000185,0.000285,0.025464,-0.000364,-0.025382,0.619894,0.035047,0.10088,-0.018052,0,4.0,25,N,DC
1,4,0,50.279594,79.135428,4179.04704,14.458221,-0.000202,0.000198,-0.000445,0.000496,0.027693,-0.000422,-0.002448,0.674213,0.093163,0.19804,-0.012978,0,4.0,25,N,DC
1,1,1,0.0,0.0,0.0,0.0,0.127829,0.157071,-0.07467,0.116471,7.139488,0.00674,-47.669736,173.492908,7.662146,40.638142,-5.953561,0,4.0,25,N,DC
1,2,0,40.058571,77.334626,4174.989808,14.549582,-0.000448,0.00031,-0.000702,0.000603,0.021406,-0.000365,0.019021,0.521078,0.182195,0.271188,0.009682,0,4.0,25,N,DC
1,3,0,45.036562,78.44695,4175.00412,14.512407,-0.000567,0.000316,-0.000814,0.000675,0.023452,-0.000403,0.037347,0.571007,0.211796,0.309147,0.014661,0,4.0,25,N,DC
1,4,0,50.230027,80.253528,4175.040359,14.471747,-0.000856,0.000408,-0.001008,0.000818,0.024111,-0.000509,0.069026,0.587086,0.303087,0.377006,0.020571,0,4.0,25,N,DC
1,1,1,0.0,0.0,0.0,0.0,0.128234,0.156961,-0.075379,0.116779,7.13707,0.006802,-47.720018,173.434077,7.551887,40.856053,-5.889469,0,4.0,25,Y,DC
1,2,0,40.181337,77.338247,4177.813898,14.533386,-0.000416,-3.3e-05,-5.5e-05,0.000101,0.028176,0.000816,0.072674,0.686686,0.080407,0.033726,-0.011579,0,4.0,25,Y,DC
1,3,0,44.884869,78.6839,4177.866619,14.496574,-0.000362,-0.000109,-5.1e-05,0.000192,0.03124,0.001013,0.075754,0.761303,0.049212,0.053444,-0.028027,0,4.0,25,Y,DC
1,4,0,49.946584,79.455003,4177.917241,14.455374,-0.000501,-7e-05,-0.000181,0.000272,0.03415,0.001108,0.091666,0.832239,0.091381,0.09666,-0.021405,0,4.0,25,Y,DC
1,1,1,0.0,0.0,0.0,0.0,0.128824,0.15757,-0.074744,0.116488,7.143349,0.005862,-47.91596,173.585464,7.552509,40.660721,-5.934523,0,4.0,25,Y,SC
1,2,0,39.993226,74.955212,4174.961446,14.64599,-0.000399,-0.000104,1e-05,-1.6e-05,0.026167,0.00103,0.082132,0.637927,0.058485,-0.00403,-0.002477,0,4.0,25,Y,SC
1,3,0,44.98919,79.252352,4174.796268,14.607219,-0.000892,-0.000215,-9.3e-05,4.8e-05,0.025861,0.00113,0.181294,0.631008,0.146763,0.028465,-0.000684,0,4.0,25,Y,SC
1,4,0,49.916396,79.949448,4174.807967,14.570476,-0.001125,-0.000307,-0.000212,8.1e-05,0.027817,0.001171,0.234593,0.679034,0.179021,0.060022,0.010725,0,4.0,25,Y,SC
1,1,1,0.0,0.0,0.0,0.0,0.128067,0.156796,-0.075417,0.116653,7.137461,0.007902,-47.664771,173.444173,7.550171,40.838094,-5.864214,0,4.0,30,N,DC
1,2,0,40.164047,77.286086,4178.511119,14.532932,-0.000257,0.000295,-0.000243,0.000189,0.026943,-0.000464,-0.007876,0.656004,0.125513,0.089861,0.007269,0,4.0,30,N,DC
1,3,0,44.853504,78.673017,4178.522679,14.498226,-0.000354,0.000341,-0.000172,0.000182,0.029259,-0.000523,0.000436,0.712372,0.157512,0.072537,-0.003528,0,4.0,30,N,DC
1,4,0,49.730843,81.39482,4178.527348,14.457945,-0.000582,0.00027,-0.000249,0.000239,0.029843,-0.000637,0.049266,0.726857,0.193804,0.099815,-0.002741,0,4.0,30,N,DC
1,1,1,0.0,0.0,0.0,0.0,0.127897,0.156862,-0.074821,0.116506,7.137735,0.006735,-47.646808,173.450569,7.598312,40.679454,-5.93616,0,4.0,30,N,DC
1,2,0,40.089974,76.43036,4175.543873,14.549158,-0.000527,0.000559,-0.000613,0.000529,0.026412,-0.000507,-0.008545,0.642689,0.257269,0.234595,0.009119,0,4.0,30,N,DC
1,3,0,45.006895,79.456137,4175.656985,14.512734,-0.000635,0.000447,-0.000658,0.000549,0.028481,-0.000584,0.02756,0.693363,0.255182,0.248638,0.011551,0,4.0,30,N,DC
1,4,0,50.102128,80.78596,4175.717091,14.473539,-0.000795,0.000488,-0.000549,0.000462,0.030426,-0.000651,0.047593,0.740815,0.299591,0.206241,0.007856,0,4.0,30,N,DC
1,1,1,0.0,0.0,0.0,0.0,0.12846,0.15698,-0.075337,0.11672,7.137962,0.006698,-47.759936,173.455654,7.503492,40.836502,-5.884588,0,4.0,30,Y,DC
1,2,0,40.242137,75.812234,4177.415385,14.539804,-0.000767,0.000333,-0.000406,0.000345,0.032504,0.000903,0.068882,0.791694,0.253096,0.153501,0.003756,0,4.0,30,Y,DC
